"Chemical Name", "Average Monthly Wikipedia Views (2018)"
Fentanyl,274127
Cocaine,211200
Tramadol,198221
MDMA,196955
Gabapentin,180420
Lysergic acid diethylamide,178783
Methamphetamine,171371
Alprazolam,168249
Paracetamol,163001
Diazepam,158082
Ketamine,156032
Cannabidiol,155023
Escitalopram,147586
Dopamine,145626
Heroin,135533
Lorazepam,135318
Ethanol,132157
Sildenafil,131585
Oxycodone,130966
Ciprofloxacin,130926
Amphetamine,130299
Serotonin,125261
Sertraline,122421
Clonazepam,120685
Amoxicillin,120149
Ibuprofen,118351
Bupropion,117825
Modafinil,117550
Aspirin,116580
Amitriptyline,116557
Metronidazole,115378
Naproxen,112958
Caffeine,112789
Azithromycin,112776
Zolpidem,112668
Vitamin B12,109994
Mirtazapine,109866
Melatonin,109474
Trazodone,108033
Metformin,107562
Doxycycline,106572
Prednisone,106401
Monosodium glutamate,106108
Methylphenidate,105314
Sodium bicarbonate,105162
Carbon dioxide,104055
Morphine,102673
Fluoxetine,102489
Phencyclidine,102174
Cortisol,101913
Diclofenac,101538
Methaqualone,100760
Ammonia,100183
Hydrogen peroxide,100114
Codeine,99647
Sulfur,95025
Benzene,94738
Cyclobenzaprine,91699
Promethazine,91400
Omeprazole,90368
Glycerol,90204
Pregabalin,90142
Glucose,89967
Glucose,89967
Sodium hydroxide,89449
Testosterone,88705
Propranolol,87373
Amlodipine,85568
Quetiapine,85552
Vitamin C,84398
Hydrocodone,83492
Oxytocin,83352
Acetic acid,83054
Otilonium bromide,82808
Nicotine,82610
Nitrous oxide,82308
Nitrous oxide,82308
Borax,81171
Clindamycin,81031
Diphenhydramine,80736
Citalopram,79862
Tetrahydrocannabinol,79267
Venlafaxine,77914
Sulfuric acid,77908
Dexamethasone,76433
Carbon monoxide,75451
Cetirizine,75375
Meloxicam,75167
Isopropyl alcohol,75148
Hydroxyzine,74888
Formaldehyde,74470
Cholesterol,74280
Propylene glycol,74208
Thalidomide,73980
Duloxetine,73881
Sodium chloride,73540
Quinine,73275
Acetone,73123
Buspirone,72697
Propofol,72380
Atropine,71817
Bilirubin,71581
Bilirubin,71581
Urea,71313
Methanol,71031
Lidocaine,69730
Ondansetron,69035
Metoclopramide,68287
Clonidine,67430
Aspartame,67002
Finasteride,66545
Cyanide,66531
Methotrexate,66181
Methane,65935
Dextromethorphan,65672
Toluene,65200
Pantoprazole,65176
Naloxone,65051
Creatine,64355
Salicylic acid,64184
Minoxidil,63958
Atorvastatin,63867
Glyphosate,63542
Spironolactone,63360
Pseudoephedrine,63293
VX (nerve agent),63115
Ranitidine,63036
Chloroform,62625
Citric acid,61830
Calcium carbonate,61772
Biotin,61760
Metoprolol,61715
Furosemide,61396
Adrenaline,61337
Gamma-Hydroxybutyric acid,61098
Lamotrigine,60260
Glutathione,60010
Risperidone,59590
Taurine,59263
Loratadine,58803
Phentermine,58225
Olanzapine,58089
Methadone,57450
Salbutamol,57218
Sucrose,57145
Sodium carbonate,57034
Losartan,57031
Sucralose,56968
Midazolam,56772
Folate,56486
Nitrofurantoin,56043
Psilocybin,55960
Heavy water,55919
Sarin,55592
Nitroglycerin,55559
Lactic acid,54813
Magnesium sulfate,54601
Misoprostol,54412
Fluconazole,54015
Cefalexin,53937
Aripiprazole,53816
Vasopressin,53659
Phenol,53314
Creatinine,53022
Creatinine,53022
Naltrexone,52771
Properties of water,52758
Adenosine triphosphate,52650
Loperamide,52534
Warfarin,52347
Phenobarbital,52128
Potassium nitrate,51986
Buprenorphine,51843
Hydrogen sulfide,51764
Clopidogrel,51641
Montelukast,51500
Baclofen,51421
DDT,51051
Niacin,50933
Mescaline,50779
Erythritol,50631
Levothyroxine,50442
Capsaicin,49992
Isotretinoin,49834
Benzonatate,49714
Hyoscine,49624
Ephedrine,49470
Levofloxacin,49314
Nitric acid,49309
Mifepristone,49024
Haloperidol,48718
Ethylene glycol,48621
Ozone,48529
Digoxin,48150
Tryptophan,47680
Tryptophan,47680
Potassium chloride,47541
Saline (medicine),47503
Mupirocin,47281
Tadalafil,47218
Phenylephrine,47085
Domperidone,47001
Thiamine,46904
Aldosterone,46783
Sodium hypochlorite,46733
Lithium (medication),46516
Paroxetine,46195
Boric acid,45951
Boric acid,45951
Amiodarone,45873
Ceftriaxone,45504
Ethylenediaminetetraacetic acid,45440
Nitric oxide,45433
Progesterone,45089
Aciclovir,44705
Flunitrazepam,44524
Hydromorphone,44497
Uric acid,44414
Uric acid,44414
Uric acid,44414
Uric acid,44414
Poly(methyl methacrylate),44316
Colchicine,44191
Chlorpromazine,44130
Alcohol (drug),44123
Histamine,43897
Zopiclone,43624
Tizanidine,43614
Prednisolone,43576
Dextroamphetamine,43539
Dimethyl sulfoxide,43510
Carbamazepine,43228
Fructose,43169
Vancomycin,43138
Sulfur dioxide,42974
Lisinopril,42899
Phenibut,42825
Valproate,42768
Topiramate,42662
Oseltamivir,42362
Clotrimazole,42302
Tranexamic acid,42139
Sulfur mustard,42058
Acetylcysteine,41868
Hydrochlorothiazide,41864
Phenylalanine,41489
Phenylalanine,41489
Clenbuterol,41470
Curcumin,41441
Temazepam,41320
Camphor,41263
Coenzyme Q10,41107
RDX,40722
Erythromycin,40715
Vortioxetine,40372
Phosphate,40068
Phosphate,40068
Calcium chloride,40009
Adenosine,39865
Titanium dioxide,39691
Ketorolac,39599
Desomorphine,39598
Gamma-Aminobutyric acid,39263
Permethrin,39083
Diethyl ether,39000
Acetazolamide,38920
Phosphoric acid,38847
Methocarbamol,38589
Nicotinamide adenine dinucleotide,38547
Nicotinamide adenine dinucleotide,38547
Calcium hydroxide,38487
Arginine,38339
Arginine,38339
Arginine,38339
Sumatriptan,38242
Aluminium oxide,38238
Methylprednisolone,37816
Carfentanil,37800
Potassium permanganate,37657
Hydrazine,37626
Ketoconazole,37347
Valsartan,37314
Xylitol,37222
Meldonium,37171
Propane,36967
Fexofenadine,36934
Clozapine,36884
Allopurinol,36865
Lysine,36738
Lysine,36738
Lysine,36738
Pethidine,36698
Hydrocortisone,36600
Hydrogen cyanide,36353
Bakelite,36205
Triamcinolone,36003
Ethylene,35640
Dydrogesterone,35572
Tamoxifen,35519
Bisphenol A,35328
Copper(II) sulfate,35069
Oxalic acid,35068
Ethyl acetate,34808
Celecoxib,34704
Guaifenesin,34579
Alpha-Pyrrolidinopentiophenone,34548
Tamsulosin,34396
Lisdexamfetamine,34258
Dichloromethane,34221
Riboflavin,34040
Betamethasone,34035
Prochlorperazine,34002
Calcium oxide,34001
Cortisone,33999
Levetiracetam,33772
Clarithromycin,33730
Pentobarbital,33478
Norethisterone,33395
Sodium thiopental,33306
Adrenochrome,33285
Gentamicin,33255
Chloramphenicol,33151
Estradiol,33004
Benzoic acid,32873
Sorbitol,32486
Glutamine,32393
Glutamine,32393
Fluoride,32358
Formic acid,32304
Donepezil,32239
Terbinafine,32229
Ammonium chloride,31766
5-Hydroxytryptophan,31750
